id_estudiante,transcripcion_limpia,claridad,argumentacion,originalidad,promedio_final
20241274,argumentación expresión comunicación claridad,12,10,12,11
20241275,argumentación emocional comunicación estructura,12,18,20,17
20241276,expresión estructura argumentación inteligencia,19,18,12,16
20241277,claridad comunicación pensamiento inteligencia,15,17,16,16
20241278,claridad emocional expresión estructura,10,13,12,12
20241279,emocional contenido inteligencia comunicación,15,12,14,14
20241280,comunicación emocional inteligencia opinión,12,13,10,12
20241281,comunicación inteligencia opinión claridad,17,20,17,18
20241282,comunicación contenido inteligencia estructura,15,19,15,16
20241283,expresión comunicación emocional argumentación,19,18,16,18
20241284,estructura comunicación argumentación contenido,17,19,16,17
20241285,argumentación pensamiento contenido inteligencia,16,15,17,16
20241286,pensamiento expresión inteligencia comunicación,12,10,13,12
20241287,emocional contenido estructura comunicación,15,17,13,15
20241288,argumentación opinión pensamiento inteligencia,10,11,14,12
20241289,inteligencia contenido opinión pensamiento,17,16,13,15
20241290,inteligencia pensamiento argumentación opinión,15,19,14,16
20241291,argumentación estructura claridad emocional,18,17,20,18
20241292,estructura expresión comunicación pensamiento,11,17,12,13
20241293,argumentación emocional opinión comunicación,18,10,10,13
20241294,inteligencia comunicación argumentación expresión,12,19,11,14
20241295,pensamiento comunicación argumentación estructura,20,16,13,16
20241296,comunicación estructura opinión argumentación,17,14,13,15
20241297,estructura contenido emocional expresión,15,11,12,13
20241298,estructura inteligencia expresión comunicación,14,17,17,16
20241299,estructura comunicación expresión argumentación,19,16,17,17
20241300,contenido pensamiento comunicación opinión,14,14,16,15
20241301,contenido estructura argumentación expresión,11,14,14,13
20241302,estructura argumentación expresión contenido,10,19,13,14
20241303,claridad expresión emocional argumentación,19,17,14,17
20241304,contenido inteligencia claridad argumentación,19,11,16,15
20241305,estructura argumentación claridad expresión,13,12,20,15
20241306,contenido pensamiento argumentación opinión,16,20,11,16
20241307,opinión inteligencia contenido pensamiento,13,14,14,14
20241308,contenido expresión claridad inteligencia,20,14,16,17
20241309,expresión opinión comunicación claridad,14,15,13,14
20241310,estructura opinión claridad pensamiento,19,10,14,14
20241311,argumentación estructura comunicación pensamiento,17,20,19,19
20241312,estructura emocional expresión pensamiento,13,12,12,12
20241313,estructura inteligencia expresión contenido,14,11,14,13
20241314,expresión contenido estructura pensamiento,10,19,16,15
20241315,contenido comunicación emocional pensamiento,10,16,20,15
20241316,estructura argumentación expresión inteligencia,19,14,13,15
20241317,emocional comunicación argumentación estructura,17,14,20,17
20241318,pensamiento inteligencia emocional comunicación,11,19,19,16
20241319,pensamiento expresión opinión emocional,18,11,16,15
20241320,argumentación claridad inteligencia opinión,17,15,20,17
20241321,claridad emocional opinión comunicación,10,17,18,15
20241322,pensamiento opinión estructura comunicación,14,15,14,14
20241323,opinión pensamiento estructura argumentación,10,10,12,11
20241324,opinión pensamiento emocional contenido,19,10,15,15
20241325,inteligencia claridad emocional expresión,10,20,12,14
20241326,estructura emocional comunicación pensamiento,20,14,12,15
20241327,claridad comunicación pensamiento argumentación,11,11,16,13
20241328,emocional pensamiento opinión claridad,18,17,11,15
20241329,comunicación pensamiento argumentación emocional,13,12,19,15
20241330,opinión contenido inteligencia estructura,18,20,15,18
20241331,estructura comunicación pensamiento inteligencia,11,11,15,12
20241332,argumentación comunicación pensamiento inteligencia,14,19,19,17
20241333,claridad pensamiento opinión inteligencia,15,17,14,15
